,Cust_bankAcctID,face_id,confidence,identified_id,custID,verifiedID
0,1117_227355.jpg,f8370297-1c0e-4d23-b5c9-b4b0ad6799ed,0.84021,1219.jpg,1117,0.0
1,1219_368103.jpg,6ecd6fc7-1881-49a6-8d96-62734964b228,0.77806,1117.jpg,1219,0.0
2,1264_617971.jpg,3e40c8f2-83ef-4a7f-8e2b-58bc4c0b3b0c,0.90398,1264.jpg,1264,1.0
3,1269_781164.jpg,5bf0bf1b-aad1-44d4-9287-269c50439191,0.87691,1269.jpg,1269,1.0
4,1337_636996.jpg,36bd8391-27fc-459a-81be-77f711eaa2cd,0.71655,1337.jpg,1337,1.0
5,1349_342596.jpg,ff9334fe-27f0-433d-b8cb-47dd27220132,0.74425,1349.jpg,1349,1.0
6,1618_791022.jpg,3ae9bc30-ab55-4681-af4c-0129c21b24a0,0.79931,1618.jpg,1618,1.0
7,1646_291279.jpg,f1e6efe7-4e66-4f32-8e23-239f1dd8bc1a,0.79103,1646.jpg,1646,1.0
8,1660_383252.jpg,1ea7c53d-802c-4618-9859-17cd2b90416f,0.81201,1660.jpg,1660,1.0
9,1671_499683.jpg,a60ed464-42d6-4c2b-b8de-0cbff48a07a8,0.835,1671.jpg,1671,1.0
10,1680_388596.jpg,3d26358c-2f45-4528-84c6-5f003396daaf,0.82788,1680.jpg,1680,1.0
11,1759_769395.jpg,31762e40-4d66-4dbf-82b8-dd87e20a05d0,0.64227,1759.jpg,1759,1.0
12,1785_584942.jpg,ad237107-691e-44e2-9773-a6dd354d4732,0.69474,1785.jpg,1785,1.0
